Year,Month_Num,Month_Name,Airport,Pct_Share
2024,1,January,Dubai,14
2024,1,January,Doha,13
2024,1,January,Chennai,8
2024,1,January,Moscow,6
2024,1,January,Abu Dhabi,4
2024,1,January,Mumbai,4
2024,1,January,London,3
2024,1,January,Bangalore,3
2024,1,January,Singapore,3
2024,1,January,Sharjah,3
2024,1,January,Others,17
2024,2,February,Dubai,14
2024,2,February,Doha,13
2024,2,February,Chennai,7
2024,2,February,Moscow,5
2024,2,February,Abu Dhabi,4
2024,2,February,Mumbai,4
2024,2,February,London,4
2024,2,February,Kuala Lumpur,4
2024,2,February,Singapore,3
2024,2,February,Sharjah,3
2024,2,February,Others,19
2024,3,March,Dubai,14
2024,3,March,Doha,12
2024,3,March,Chennai,8
2024,3,March,Moscow,5
2024,3,March,Abu Dhabi,4
2024,3,March,Mumbai,3
2024,3,March,London,3
2024,3,March,Singapore,3
2024,3,March,Kuala Lumpur,3
2024,3,March,Sharjah,3
2024,3,March,Others,18
2024,4,April,Dubai,15
2024,4,April,Doha,11
2024,4,April,Chennai,7
2024,4,April,Abu Dhabi,4
2024,4,April,Moscow,4
2024,4,April,Bangalore,4
2024,4,April,Mumbai,3
2024,4,April,Singapore,3
2024,4,April,Kuala Lumpur,3
2024,4,April,Delhi,3
2024,4,April,Others,17
2024,5,May,Dubai,13
2024,5,May,Chennai,11
2024,5,May,Doha,9
2024,5,May,Bangalore,6
2024,5,May,Male,5
2024,5,May,Abu Dhabi,5
2024,5,May,Mumbai,5
2024,5,May,Delhi,4
2024,5,May,Kuala Lumpur,4
2024,5,May,Singapore,4
2024,5,May,Others,12
2024,6,June,Dubai,15
2024,6,June,Doha,9
2024,6,June,Chennai,9
2024,6,June,Abu Dhabi,7
2024,6,June,Delhi,6
2024,6,June,Singapore,5
2024,6,June,Kuala Lumpur,5
2024,6,June,Mumbai,4
2024,6,June,Bangalore,4
2024,6,June,London,4
2024,6,June,Others,9
2024,7,July,Dubai,17
2024,7,July,Doha,13
2024,7,July,Chennai,9
2024,7,July,Abu Dhabi,8
2024,7,July,Delhi,5
2024,7,July,Mumbai,5
