Year,Month_Num,Month_Name,Arrivals,Source_Report
2024,1,January,208253,Dec 2024 report
2024,2,February,218350,Dec 2024 report
2024,3,March,209181,Dec 2024 report
2024,4,April,148867,Dec 2024 report
2024,5,May,112128,Dec 2024 report
2024,6,June,113470,Dec 2024 report
2024,7,July,187810,Dec 2024 report
2024,8,August,164609,Dec 2024 report
2024,9,September,122140,Dec 2024 report
2024,10,October,135907,Dec 2024 report
2024,11,November,184158,Dec 2024 report
2024,12,December,248592,Dec 2024 report
2025,1,January,252761,Jan 2025 report
2025,2,February,240217,Feb 2025 report
2025,3,March,229298,Mar 2025 report
2025,4,April,174608,Apr 2025 report
2025,5,May,132919,May 2025 report
2025,6,June,138241,Jun 2025 report
2025,7,July,200244,Jul 2025 report
2025,8,August,198235,Aug 2025 report
2025,9,September,158971,Sep 2025 report
2025,10,October,165193,Oct 2025 report
2025,11,November,212906,Nov 2025 report
2025,12,December,258928,Dec 2025 report
2026,1,January,277327,Jan 2026 report
2026,2,February,279328,Feb 2026 report
2026,3,March,183979,Mar 2026 report
2026,4,April,135643,Apr 2026 report
2026,5,May,145745,May 2026 report
2026,6,June,124551,Jun 2026 report
2026,7,July,196845,Jul 2026 report
2026,8,August,191704,Aug 2026 report
