Year,Month_Num,Month_Name,Purpose,Pct_Share
2024,1,January,Pleasure/Vacation,65
2024,1,January,Other or not responded,16
2024,1,January,Visiting friends and relatives,8
2024,1,January,MICE,8
2024,1,January,Business,2
2024,1,January,Health/Ayurvedic,0.84
2024,1,January,Religious,0.19
2024,1,January,Sports,0.15
2024,1,January,Education,0.048
2024,2,February,Pleasure/Vacation,69
2024,2,February,Other or not responded,13
2024,2,February,MICE,8
2024,2,February,Visiting friends and relatives,7
2024,2,February,Business,2
2024,2,February,Health/Ayurvedic,0.84
2024,2,February,Sports,0.19
2024,2,February,Religious,0.15
2024,2,February,Education,0.048
2024,3,March,Pleasure/Vacation,68
2024,3,March,Other or not responded,14
2024,3,March,Visiting friends and relatives,8
2024,3,March,MICE,7
2024,3,March,Business,2
2024,3,March,Health/Ayurvedic,0.84
2024,3,March,Religious,0.19
2024,3,March,Sports,0.15
2024,3,March,Education,0.048
2024,4,April,Pleasure/Vacation,58
2024,4,April,Other or not responded,26
2024,4,April,Visiting friends and relatives,8
2024,4,April,MICE,5
2024,4,April,Business,2
2024,4,April,Health/Ayurvedic,0.84
2024,4,April,Sports,0.19
2024,4,April,Religious,0.15
2024,4,April,Education,0.048
2024,5,May,Other or not responded,83
2024,5,May,Pleasure/Vacation,13
2024,5,May,Visiting friends and relatives,2
2024,5,May,Business,1
2024,5,May,MICE,1
2024,5,May,Health/Ayurvedic,0.84
2024,5,May,Religious,0.19
2024,5,May,Sports,0.15
2024,5,May,Education,0.048
2024,6,June,Other or not responded,96
2024,6,June,Pleasure/Vacation,3
2024,6,June,Visiting friends and relatives,1
2024,6,June,MICE,0.12
2024,6,June,Business,0.08
2024,6,June,Health/Ayurvedic,0.02
2024,6,June,Religious,0.004
2024,6,June,Official,0.004
2024,6,June,Education,0.003
2024,6,June,Sports,0.002
2024,7,July,Other or not responded,97
2024,7,July,Pleasure/Vacation,2.52
2024,7,July,Visiting friends and relatives,0.19
2024,7,July,Business,0.016
2024,7,July,MICE,0.012
2024,7,July,Health/Ayurvedic,0.003
2024,7,July,Official,0.002
2024,7,July,Sports,0.001
2024,7,July,Education,0.001
2024,8,August,Other or not responded,98
2024,8,August,Pleasure/Vacation,1.121
2024,8,August,Visiting friends and relatives,0.821
2024,8,August,MICE,0.013
2024,8,August,Business,0.01
2024,8,August,Official,0.002
2024,8,August,Sports,0.001
2024,8,August,Health/Ayurvedic,0.001
2024,9,September,Other or not responded,97
2024,9,September,Pleasure/Vacation,1.121
2024,9,September,Visiting friends and relatives,0.821
2024,9,September,MICE,0.013
2024,9,September,Business,0.01
2024,9,September,Religious,0.002
2024,9,September,Health/Ayurvedic,0.001
2024,9,September,Official,0.001
2024,9,September,Sports,0.001
2024,10,October,Other or not responded,50.6
2024,10,October,Pleasure/Vacation,36.4
2024,10,October,Visiting friends and relatives,6.47
2024,10,October,MICE,3.78
2024,10,October,Business,1.83
2024,10,October,Health/Ayurvedic,0.54
2024,10,October,Sports,0.16
2024,10,October,Religious,0.11
2024,10,October,Education,0.06
2024,11,November,Pleasure/Vacation,47
2024,11,November,Other or not responded,38
2024,11,November,MICE,7
2024,11,November,Visiting friends and relatives,5
2024,11,November,Business,2
2024,11,November,Health/Ayurvedic,1
2024,11,November,Religious,0.22
2024,11,November,Sports,0.1
2024,11,November,Education,0.035
2024,12,December,Pleasure/Vacation,52.2
2024,12,December,Other or not responded,34.06
2024,12,December,Visiting friends and relatives,6.58
2024,12,December,MICE,5.37
2024,12,December,Business,1.09
2024,12,December,Health/Ayurvedic,0.43
2024,12,December,Religious,0.12
2024,12,December,Sports,0.1
2024,12,December,Education,0.06
2025,1,January,Pleasure/Vacation,52.7
2025,1,January,Other or not responded,32.8
2025,1,January,Visiting friends and relatives,6.2
2025,1,January,MICE,5.6
2025,1,January,Business,1.6
2025,1,January,Health/Ayurvedic,0.72
2025,1,January,Religious,0.22
2025,1,January,Sports,0.18
2025,1,January,Education,0.04
2025,2,February,Pleasure/Vacation,55
2025,2,February,Other or not responded,29
2025,2,February,MICE,7
2025,2,February,Visiting friends and relatives,6
2025,2,February,Business,2
2025,2,February,Health/Ayurvedic,1
2025,2,February,Sports,0.43
2025,2,February,Religious,0.25
2025,2,February,Education,0.05
2025,3,March,Pleasure/Vacation,55.7
