Year,Month_Num,Month_Name,Rank,Country,By_Air,By_Sea,Total,Prior_Year_Same_Month,,
2024,1,January,1,India,34397,0,34399,13759,,
2024,1,January,2,Russia,31159,0,31159,25254,,
2024,1,January,3,United Kingdom,16552,113,16665,8483,,
2024,1,January,4,Germany,13568,25,13593,8217,,
2024,1,January,5,China,11511,0,11511,835,,
2024,1,January,6,France,9911,0,9919,4840,,
2024,1,January,7,Poland,7800,0,7800,4840,,
2024,1,January,8,Australia,6610,35,6645,3668,,
2024,1,January,9,United States,5032,680,5712,2636,,
2024,1,January,10,Netherlands,4523,0,4531,1514,,
2024,2,February,1,Russia,31960,70,32030,29084,,
2024,2,February,2,India,30001,26,30027,13714,,
2024,2,February,3,United Kingdom,18070,2544,20614,8575,,
2024,2,February,4,Germany,15831,428,16259,7930,,
2024,2,February,5,China,14834,0,14836,1535,,
2024,2,February,6,France,12394,109,12503,6118,,
2024,2,February,7,Poland,6907,0,6909,1118,,
2024,2,February,8,Australia,5800,465,6265,3113,,
2024,2,February,9,United States,4902,807,5709,2443,,
2024,2,February,10,Netherlands,3972,39,4011,1485,,
2024,3,March,1,India,31835,18,31853,18959,,
2024,3,March,2,Russia,28014,2,28016,25553,,
2024,3,March,3,United Kingdom,19753,1787,21540,11053,,
2024,3,March,4,Germany,18144,180,18324,9702,,
2024,3,March,5,China,12858,7,12865,3096,,
2024,3,March,6,France,10945,15,10960,5786,,
2024,3,March,7,Australia,8301,551,8852,4725,,
2024,3,March,8,United States,4863,2754,7617,5701,,
2024,3,March,9,Poland,4781,8,4789,1507,,
2024,3,March,10,Canada,3760,274,4034,4066,,
2024,4,April,1,India,27304,0,27304,19915,,
2024,4,April,2,Russia,15086,17,15103,14656,,
2024,4,April,3,United Kingdom,13171,2,13173,8743,,
2024,4,April,4,Germany,9479,364,9843,7404,,
2024,4,April,5,France,8155,637,8792,5535,,
2024,4,April,6,China,8518,0,8518,5118,,
2024,4,April,7,Australia,7166,36,7202,4996,,
2024,4,April,8,United States,4622,952,5574,3940,,
2024,4,April,9,Canada,3552,42,3594,3310,,
2024,4,April,10,Netherlands,3421,16,3437,1593,,
2024,5,May,1,India,32251,3,32254,23016,,
2024,5,May,2,United Kingdom,7942,152,8094,5987,,
2024,5,May,3,Maldives,8040,0,8040,2438,,
2024,5,May,4,China,7507,4,7511,4173,,
2024,5,May,5,Germany,5182,2313,7495,6854,,
2024,5,May,6,Australia,5299,166,5465,4201,,
2024,5,May,7,Russia,4381,3,4384,7760,,
2024,5,May,8,United States,2970,1112,4082,3240,,
2024,5,May,9,France,4058,6,4064,2414,,
2024,5,May,10,Canada,3086,208,3294,3753,,
2024,6,June,1,India,28631,0,28631,26830,,
2024,6,June,2,United Kingdom,9266,0,9266,7981,,
2024,6,June,3,China,8575,0,8575,5105,,
2024,6,June,4,Australia,6317,0,6317,6195,,
2024,6,June,5,Maldives,5109,0,5109,4080,,
2024,6,June,6,Germany,4556,0,4556,5090,,
2024,6,June,7,Bangladesh,4374,0,4374,1072,,
2024,6,June,8,United States,4023,0,4023,3806,,
2024,6,June,9,Russia,3412,0,3412,7968,,
2024,6,June,10,Canada,3263,0,3263,4509,,
2024,7,July,1,India,39870,1303,41173,23461,,
2024,7,July,2,United Kingdom,20827,10,20837,17482,,
2024,7,July,3,China,13040,0,13040,10062,,
2024,7,July,4,Netherlands,11431,0,11431,6796,,
2024,7,July,5,Germany,10618,0,10618,8013,,
2024,7,July,6,France,9405,0,9405,7432,,
2024,7,July,7,Australia,7371,0,7371,5323,,
2024,7,July,8,Switzerland,5089,0,5089,4329,,
2024,7,July,9,United States,4941,21,4962,4120,,
2024,7,July,10,Canada,4821,0,4821,5737,,
2024,8,August,1,India,31005,2026,33031,30593,,
2024,8,August,2,United Kingdom,17574,13,17587,15035,,
2024,8,August,3,China,11333,0,11333,9262,,
2024,8,August,4,Germany,10623,0,10623,8472,,
2024,8,August,5,Italy,9586,0,9586,5110,,
2024,8,August,6,France,8592,4,8596,6223,,
2024,8,August,7,Spain,7262,0,7262,4455,,
2024,8,August,8,Australia,6685,2,6687,5522,,
2024,8,August,9,Netherlands,5355,0,5355,3429,,
2024,8,August,10,Russia,4351,0,4351,6853,,
2024,9,September,1,India,26861,1023,27884,27884,,
2024,9,September,2,China,9078,0,9078,8445,,
2024,9,September,3,United Kingdom,8682,0,8688,7504,,
2024,9,September,4,Germany,8260,0,8260,7231,,
2024,9,September,5,Australia,7199,1,7200,5969,,
2024,9,September,6,Maldives,4359,0,4359,2287,,
2024,9,September,7,Russia,4199,0,4199,7163,,
2024,9,September,8,Bangladesh,4178,0,4178,1441,,
2024,9,September,9,Spain,4166,0,4166,2414,,
2024,9,September,10,France,3749,0,3749,2661,,
2024,10,October,1,India,36417,0,36417,28222,,
2024,10,October,2,Russia,10367,0,10367,10629,,
2024,10,October,3,United Kingdom,10206,0,10206,8454,,
2024,10,October,4,Germany,9217,0,9217,7548,,
2024,10,October,5,China,8307,0,8307,6211,,
2024,10,October,6,Australia,6523,0,6523,4977,,
2024,10,October,7,France,4688,0,4688,2956,,
2024,10,October,8,Bangladesh,3732,0,3732,2456,,
2024,10,October,9,Spain,3458,0,3458,2488,,
2024,10,October,10,United States,3170,0,3170,2651,,
2024,11,November,1,India,40954,166,41120,30339,,
2024,11,November,2,Russia,29049,0,29053,24912,,
2024,11,November,3,United Kingdom,11974,938,12912,11526,,
