Period_End_Year,Period_Label,Rank,Country,Arrivals_Current,Arrivals_Prior_Period
2024,Jan-Dec 2024,1,India,416974,302844
2024,Jan-Dec 2024,2,Russia,201920,197498
2024,Jan-Dec 2024,3,United Kingdom,178339,130088
2024,Jan-Dec 2024,4,Germany,136084,102539
2024,Jan-Dec 2024,5,China,131681,73788
2024,Jan-Dec 2024,6,Australia,89573,67436
2024,Jan-Dec 2024,7,France,88775,56251
2024,Jan-Dec 2024,8,United States,59532,46344
2024,Jan-Dec 2024,9,Netherlands,50116,29056
2024,Jan-Dec 2024,10,Maldives,47222,37328
2025,Jan-Dec 2025,1,India,531511,416974
2025,Jan-Dec 2025,2,United Kingdom,212277,178339
2025,Jan-Dec 2025,3,Russia,186580,201920
2025,Jan-Dec 2025,4,Germany,147966,136084
2025,Jan-Dec 2025,5,China,132035,131681
2025,Jan-Dec 2025,6,Australia,109487,89573
2025,Jan-Dec 2025,7,France,109041,88775
2025,Jan-Dec 2025,8,United States,65973,59532
2025,Jan-Dec 2025,9,Netherlands,64164,50116
2025,Jan-Dec 2025,10,Bangladesh,59563,39555
2026,Jan-Jul 2026,1,India,338230,279122
2026,Jan-Jul 2026,2,United Kingdom,130401,131377
2026,Jan-Jul 2026,3,China,88507,78769
2026,Jan-Jul 2026,4,Russia,79206,115470
2026,Jan-Jul 2026,5,Germany,78596,85144
2026,Jan-Jul 2026,6,Australia,67138,60442
2026,Jan-Jul 2026,7,France,63099,72516
2026,Jan-Jul 2026,8,United States,38343,39635
2026,Jan-Jul 2026,9,Netherlands,34092,41695
2026,Jan-Jul 2026,10,Canada,27066,29578
